City,State,Zipcodes
Raleigh,NC,"27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617"
Richmond,VA,"23173, 23219, 23220, 23221, 23222, 23223, 23224, 23225, 23226, 23227, 23230"
Riverside,CA,"92501, 92503, 92504, 92505, 92506, 92507, 92508"
Rochester,NY,"14604, 14605, 14607, 14608, 14609, 14610, 14611, 14613, 14614, 14615, 14619, 14620, 14621, 14627"
Sacramento,CA,"95811, 95814, 95815, 95816, 95817, 95818, 95819, 95820, 95822, 95823, 95824, 95831, 95832, 95833, 95834, 95835, 95837, 95838"
Salt Lake City,UT,"84101, 84102, 84103, 84104, 84105, 84106, 84108, 84111, 84112, 84113, 84116, 84144, 84180"
San Antonio,TX,"78023, 78201, 78202, 78203, 78204, 78205, 78207, 78208, 78209, 78210, 78211, 78212, 78213, 78214, 78215, 78216, 78217, 78218, 78220, 78221, 78222, 78223, 78224, 78225, 78226, 78227, 78228, 78229, 78230, 78231, 78232, 78233, 78234, 78235, 78237, 78238, 78239, 78240, 78242, 78243, 78244, 78245, 78247, 78248, 78249, 78250, 78251, 78252, 78253, 78254, 78255, 78256, 78257, 78258, 78259, 78264"
San Diego,CA,"92014, 92037, 92101, 92102, 92103, 92104, 92105, 92106, 92107, 92108, 92109, 92110, 92111, 92113, 92114, 92115, 92116, 92117, 92119, 92120, 92121, 92122, 92123, 92124, 92126, 92127, 92128, 92129, 92130, 92131, 92132, 92134, 92139, 92140, 92145, 92147, 92154, 92173"
San Francisco,CA,"94102, 94103, 94104, 94105, 94107, 94108, 94109, 94110, 94111, 94112, 94114, 94115, 94116, 94117, 94118, 94121, 94122, 94123, 94124, 94127, 94129, 94130, 94131, 94132, 94133, 94134, 94158"
San Jose,CA,"95002, 95110, 95111, 95112, 95113, 95116, 95117, 95118, 95119, 95120, 95121, 95122, 95123, 95124, 95125, 95126, 95127, 95128, 95129, 95130, 95131, 95132, 95133, 95134, 95135, 95136, 95138, 95139, 95148"
Seattle,WA,"98101, 98102, 98103, 98104, 98105, 98106, 98107, 98108, 98109, 98112, 98115, 98116, 98117, 98118, 98119, 98121, 98122, 98125, 98126, 98133, 98134, 98136, 98144, 98154, 98164, 98174, 98199"
Spokane,WA,"99201, 99202, 99203, 99204, 99205, 99207, 99208, 99217, 99223, 99224"
St. Louis,MO,"63101, 63102, 63103, 63104, 63106, 63107, 63108, 63109, 63110, 63111, 63112, 63113, 63115, 63116, 63118, 63120, 63139, 63147, 63155"
St. Paul,MN,"55101, 55102, 55103, 55104, 55105, 55106, 55107, 55108, 55114, 55116, 55117, 55119, 55130"
Stamford,CT,"06901, 06902, 06903, 06905, 06906, 06907"
Stockton,CA,"95202, 95203, 95204, 95205, 95206, 95207, 95209, 95210, 95211, 95212, 95219"
Syracuse,NY,"13202, 13203, 13204, 13205, 13206, 13207, 13208, 13210, 13224, 13290"
Tampa,FL,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33616, 33620, 33621, 33629, 33647"
Toledo,OH,"43604, 43605, 43606, 43607, 43608, 43609, 43610, 43611, 43612, 43613, 43614, 43615, 43620, 43623"
Tucson,AZ,"85701, 85705, 85706, 85707, 85708, 85710, 85711, 85712, 85713, 85714, 85715, 85716, 85719, 85726, 85730, 85745, 85747, 85748, 85756"
Tulsa,OK,"74103, 74104, 74105, 74106, 74107, 74108, 74110, 74112, 74114, 74115, 74116, 74117, 74119, 74120, 74126, 74127, 74128, 74129, 74132, 74133, 74134, 74135, 74136, 74137, 74145, 74146"
Ventura,CA,"93001, 93003, 93004"
Virginia Beach,VA,"23451, 23452, 23453, 23454, 23455, 23456, 23457, 23459, 23460, 23461, 23462, 23464"
Washington,DC,"20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20015, 20016, 20017, 20018, 20019, 20020, 20024, 20032, 20036, 20037, 20045, 20052, 20057, 20064, 20260, 20307, 20317, 20319, 20373, 20390"
West Palm Beach,FL,"33401, 33405, 33407, 33409, 33417"
Wichita,KS,"67202, 67203, 67204, 67205, 67206, 67207, 67208, 67209, 67210, 67211, 67212, 67213, 67214, 67215, 67216, 67217, 67218, 67220, 67226, 67228, 67230, 67235, 67260"
Winston-Salem,NC,"27040, 27101, 27103, 27104, 27105, 27106, 27107, 27109, 27110, 27127"
Worcester,MA,"01602, 01603, 01604, 01605, 01606, 01607, 01608, 01609, 01610"
